ID,Video Duration,Video Publish Time,Days Since Publish,Day,Month,Year,Day of Week,Revenue per 1000 Views (USD),Monetized Playbacks (Estimate),Playback-Based CPM (USD),CPM (USD),Ad Impressions,Estimated AdSense Revenue (USD),DoubleClick Revenue (USD),YouTube Ads Revenue (USD),Watch Page Ads Revenue (USD),YouTube Premium (USD),Transaction Revenue (USD),Transactions,Revenue from Transactions (USD),Reactions,Chat Messages Count,Reminders Set,Stream Hours,Remix Views,Remix Count,Subscribers from Posts,New Comments,Shares,Like Rate (%),Dislikes,Likes,Unsubscribes,New Subscribers,Returned Items (USD),Unconfirmed Commissions (USD),Approved Commissions (USD),Orders,Total Sales Volume (USD),End Screen Click-Through Rate (%),End Screen Impressions,End Screen Clicks,Teaser Click-Through Rate (%),Teaser Impressions,Teaser Clicks,Card Click-Through Rate (%),Card Impressions,Card Clicks,Views per Playlist Start,Playlist Views,Playlist Watch Time (hours),Clip Watch Time (hours),Clip Views,YouTube Premium Watch Time (hours),YouTube Premium Views,Returning Viewers,New Viewers,Average Views per User,Unique Viewers,Watched (Not Skipped) (%),Feed Impressions,Average View Percentage (%),Average View Duration,Views,Watch Time (hours),Subscribers,Estimated Revenue (USD),Impressions,Video Thumbnail CTR (%)
10,29,17-08-2016 00:00,5,17,8,2016,Wednesday,0.037,199,2.101,1.509,277,0.228,0.002,0.418,0.23,0.001,0,0,0,0,0,0,0,0,0,0,0,11,93.75,17,255,2,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,7,7,0.0421,0,0,0.1595,25,0,0,0,0,0,0,79.64,23,6209,41.2094,11,0.231,37207,5.13
11,1238,05-09-2016 00:00,19,5,9,2016,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,33,96.04,44,1067,2,94,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.2,16,2.2387,0,0,4.434,46,0,0,0,0,0,0,34.5,427,27281,3241.5449,92,0,63050,5.73
12,161,11-09-2016 00:00,6,11,9,2016,Sunday,0.034,240,2.646,1.936,328,0.347,0.002,0.635,0.349,0.001,0,0,0,0,0,0,0,0,0,0,30,10,95.66,15,331,2,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4.931,572,7.0865,0,0,0.454,37,0,0,0,0,0,0,37.82,61,10179,173.218,17,0.35,59353,6.95
13,22,18-09-2016 00:00,7,18,9,2016,Sunday,0.031,736,1.181,0.76,1144,0.478,0,0.869,0.478,0,0,0,0,0,0,0,0,0,0,0,40,72,89.41,36,304,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.0271,0,0,0.0766,29,0,0,0,0,0,0,63.55,14,15417,62.5967,30,0.478,56628,4.05
14,19,01-10-2016 00:00,13,1,10,2016,Saturday,0.032,1908,0.543,0.362,2862,0.57,0,1.036,0.57,0.001,0,0,0,0,0,0,0,0,0,0,37,35,97.34,21,769,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.0401,0,0,0.2323,52,0,0,0,0,0,0,94.66,18,17771,93.4514,9,0.571,69933,8.03
15,832,12-10-2016 00:00,11,12,10,2016,Wednesday,0.03,1378,0.944,0.724,1797,0.707,0.009,1.301,0.716,0.007,0,0,0,0,0,0,0,0,0,0,60,17,95.71,33,736,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1.1018,0,0,1.5012,33,0,0,0,0,0,0,43.37,361,23999,2411.141,47,0.723,63997,5.88
16,809,15-10-2016 00:00,3,15,10,2016,Saturday,0.05,4802,1.373,1.14,5784,3.583,0.043,6.592,3.626,0.036,0,0,0,0,0,0,0,0,0,0,108,62,95.66,76,1674,8,494,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3.1111,28,2.8337,0,0,12.0184,173,0,0,0,0,0,0,36.96,299,73469,6117.5468,486,3.662,211931,10.4
17,1146,20-10-2016 00:00,5,20,10,2016,Thursday,0.073,5301,0.72,0.592,6445,1.934,0.165,3.816,2.099,0.008,0,0,0,0,0,0,0,0,0,0,119,58,92.4,64,778,1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6667,35,5.4917,0,0,2.7521,25,0,0,0,0,0,0,33.85,388,29055,3133.6338,219,2.107,59980,4.99
18,123,26-10-2016 00:00,6,26,10,2016,Wednesday,0.047,1668,0.716,0.546,2185,0.573,0.084,1.194,0.657,0,0,0,0,0,0,0,0,0,0,0,95,13,97.05,16,527,1,124,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4.5565,1531,6.8776,0,0,0.2615,39,0,0,0,0,0,0,30.94,38,14095,150.1883,123,0.657,42704,7.8
19,767,29-10-2016 00:00,3,29,10,2016,Saturday,0.105,2877,1.195,0.912,3768,1.742,0.148,3.437,1.89,0.008,0,0,0,0,0,0,0,0,0,0,98,19,97.3,17,612,4,102,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.2,11,1.5577,0,0,1.8905,25,0,0,0,0,0,0,48.35,371,18091,1865.9502,98,1.898,53469,3.75
20,841,02-11-2016 00:00,4,2,11,2016,Wednesday,0.074,1998,1.07,0.825,2591,1.096,0.079,2.137,1.175,0.005,0,0,0,0,0,0,0,0,0,0,108,13,97.65,15,624,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1.3595,0,0,1.296,17,0,0,0,0,0,0,48.28,406,15881,1795.3155,63,1.18,45212,3.18
21,550,03-11-2016 00:00,1,3,11,2016,Thursday,0.06,40895,0.761,0.553,56288,14.154,2.973,31.135,17.127,0.047,0,0,0,0,0,0,0,0,0,0,583,899,97.26,177,6285,16,737,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4.6466,1078,53.9704,0,0,27.4099,601,0,0,0,0,0,0,32.9,181,284819,14360.0617,721,17.173,1407523,7.65
22,502,05-11-2016 00:00,2,5,11,2016,Saturday,0.056,2683,0.98,0.699,3761,1.219,0.228,2.63,1.447,0,0,0,0,0,0,0,0,0,0,0,113,47,96.32,34,889,3,115,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,0.1455,0,0,0.7923,31,0,0,0,0,0,0,20.52,103,25727,742.1827,112,1.447,96372,6.95
23,1100,06-11-2016 00:00,1,6,11,2016,Sunday,0.072,3357,0.805,0.632,4274,1.32,0.167,2.702,1.486,0.005,0,0,0,0,0,0,0,0,0,0,146,31,96.23,28,714,1,116,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,14,2.312,0,0,1.4716,23,0,0,0,0,0,0,36.92,406,20623,2326.6793,115,1.491,45688,3.38
24,1365,08-11-2016 00:00,2,8,11,2016,Tuesday,0.127,7460,1.73,0.959,13452,6.162,0.937,12.907,7.099,0.088,0,0,0,0,0,0,0,0,0,0,187,53,94.9,88,1636,2,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0556,37,5.2392,0,0,20.5141,139,0,0,0,0,0,0,30.69,419,56759,6619.2407,253,7.187,166873,5.84
25,183,09-11-2016 00:00,1,9,11,2016,Wednesday,0.053,26079,0.634,0.459,35975,7.739,1.352,16.527,9.091,0.023,0,0,0,0,0,0,0,0,0,0,453,432,96.48,147,4031,32,750,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3.7356,650,12.2648,0,0,6.2152,336,0,0,0,0,0,0,41.99,77,170618,3661.5789,718,9.114,454497,11.4
26,729,12-11-2016 00:00,3,12,11,2016,Saturday,0.089,3471,0.871,0.677,4462,1.505,0.158,3.023,1.663,0.007,0,0,0,0,0,0,0,0,0,0,168,16,95.15,38,745,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,0.9033,0,0,1.6686,25,0,0,0,0,0,0,41.3,301,18699,1566.0586,75,1.67,51713,3.51
27,1029,15-11-2016 00:00,3,15,11,2016,Tuesday,0.082,5108,1.115,0.871,6540,2.814,0.318,5.694,3.132,0.04,0,0,0,0,0,0,0,0,0,0,215,64,96.74,50,1483,2,152,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2.5556,23,3.4245,0,0,9.8793,94,0,0,0,0,0,0,40.23,414,38576,4440.1287,150,3.172,126258,6.45
28,1435,20-11-2016 00:00,5,20,11,2016,Sunday,0.073,2585,0.867,0.639,3509,1.074,0.158,2.242,1.232,0.005,0,0,0,0,0,0,0,0,0,0,121,11,96.88,21,653,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.7249,0,0,0.7297,9,0,0,0,0,0,0,32.06,460,17023,2177.1458,41,1.237,45235,2.7
29,479,23-11-2016 00:00,3,23,11,2016,Wednesday,0.08,1449,0.885,0.661,1939,0.67,0.035,1.282,0.705,0.001,0,0,0,0,0,0,0,0,0,0,87,3,96.19,18,454,2,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0.4597,0,0,0.3748,7,0,0,0,0,0,0,44.92,215,8788,526.3009,17,0.706,35900,2.31
30,172,25-11-2016 00:00,2,25,11,2016,Friday,0.096,9140,0.818,0.557,13437,3.781,0.33,7.478,4.111,0.001,0,0,0,0,0,0,0,0,0,0,147,50,91.85,77,868,3,145,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4.5,18,0.3807,0,0,0.5587,81,0,0,0,0,0,0,24.47,42,42747,502.7318,142,4.111,121348,7.49
31,860,27-11-2016 00:00,2,27,11,2016,Sunday,0.066,2865,0.845,0.669,3619,1.194,0.136,2.42,1.33,0.01,0,0,0,0,0,0,0,0,0,0,158,28,95.35,40,821,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,9,1.4116,0,0,2.1075,19,0,0,0,0,0,0,39.43,339,20363,1918.0689,62,1.341,47490,3.79
32,894,05-12-2016 00:00,8,5,12,2016,Monday,0.145,1960,1.743,0.498,6862,1.639,0.234,3.416,1.873,0.003,0,0,0,0,0,0,0,0,0,0,91,9,95.77,27,612,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0.2857,0,0,0.8879,8,0,0,0,0,0,0,39.04,349,12972,1259.1522,41,1.876,43389,2.86
33,1005,10-12-2016 00:00,5,10,12,2016,Saturday,0.069,2351,0.815,0.584,3281,0.993,0.061,1.915,1.054,0.01,0,0,0,0,0,0,0,0,0,0,143,11,96.84,23,706,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1.1895,0,0,2.2007,24,0,0,0,0,0,0,42.3,425,15329,1810.2308,46,1.063,44232,3.02
34,1096,17-12-2016 00:00,7,17,12,2016,Saturday,0.069,3700,1.568,1.329,4366,2.715,0.476,5.802,3.192,0.009,0,0,0,0,0,0,0,0,0,0,121,18,96.88,40,1244,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6667,11,0.8283,0,0,5.2648,52,0,0,0,0,0,0,30.2,331,46676,4295.6514,29,3.201,133438,6.63
35,1034,18-12-2016 00:00,1,18,12,2016,Sunday,0.142,2809,1.788,0.563,8928,2.342,0.421,5.023,2.763,0.012,0,0,0,0,0,0,0,0,0,0,169,29,97.2,23,798,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,1.16,0,0,3.0317,26,0,0,0,0,0,0,40.23,416,19525,2258.2079,53,2.775,60129,3.53
36,348,24-12-2016 00:00,6,24,12,2016,Saturday,0.049,17097,0.743,0.528,24033,6.052,0.934,12.699,6.985,0.011,0,0,0,0,0,0,0,0,0,0,241,311,95.35,159,3259,11,335,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10.0794,635,18.149,0,0,8.7066,265,0,0,0,0,0,0,34.52,120,142042,4754.0674,324,6.996,629296,8.75
37,15,25-12-2016 00:00,1,25,12,2016,Sunday,0.109,458,1.533,0.968,725,0.386,0,0.702,0.386,0,0,0,0,0,0,0,0,0,0,0,53,1,96.69,10,292,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0278,0,0,0.0041,1,0,0,0,0,0,0,116.45,18,3532,18.2801,2,0.386,32228,1.03
38,1195,26-12-2016 00:00,1,26,12,2016,Monday,0.047,2054,0.729,0.539,2778,0.701,0.123,1.498,0.824,0.026,0,0,0,0,0,0,0,0,0,0,146,27,95.5,35,743,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1.0591,0,0,5.2559,32,0,0,0,0,0,0,39.5,472,18062,2370.0999,38,0.851,48712,3.21
39,292,31-12-2016 00:00,5,31,12,2016,Saturday,0.015,394,0.914,0.675,533,0.17,0.005,0.36,0.174,0,0,0,0,0,0,0,0,0,0,0,66,24,98.04,7,350,1,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9.7184,1691,8.3063,0,0,0.326,65,0,0,0,0,0,0,15.05,44,11945,148.8298,18,0.174,106113,4.94
40,1359,01-01-2017 00:00,1,1,1,2017,Sunday,0.367,3276,3.793,0.832,14935,5.709,1.127,12.427,6.836,0.039,0,0,0,0,0,0,0,0,0,0,149,25,96.89,25,778,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,0.7446,0,0,6.84,38,0,0,0,0,0,0,40.04,544,18737,2836.521,48,6.874,53116,3.33
41,225,02-01-2017 00:00,1,2,1,2017,Monday,0.052,1099,0.721,0.555,1428,0.366,0.07,0.792,0.436,0.001,0,0,0,0,0,0,0,0,0,0,58,7,96.55,14,392,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0593,0,0,0.3801,37,0,0,0,0,0,0,32.44,73,8463,173.1329,29,0.437,40724,4.03
42,1130,07-01-2017 00:00,5,7,1,2017,Saturday,0.147,2592,1.625,0.605,6958,1.799,0.519,4.213,2.318,0.018,0,0,0,0,0,0,0,0,0,0,132,12,95.51,34,723,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0.6724,0,0,3.3736,28,0,0,0,0,0,0,37.61,425,15944,1885.3688,26,2.336,47255,3.06
43,1485,15-01-2017 00:00,8,15,1,2017,Sunday,0.074,2204,1.427,1.076,2923,1.469,0.261,3.145,1.73,0.032,0,0,0,0,0,0,0,0,0,0,143,33,96.03,39,943,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.2557,0,0,8.4249,41,0,0,0,0,0,0,38.11,566,23819,3747.2705,26,1.762,69435,3.69
44,1475,24-01-2017 00:00,9,24,1,2017,Tuesday,0.3,3461,3.487,0.888,13595,5.448,1.191,12.07,6.639,0.155,0,0,0,0,0,0,0,0,0,0,118,24,97.39,24,897,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0.5992,0,0,33.2289,132,0,0,0,0,0,0,38.58,569,22678,3584.7615,14,6.795,73326,4.42
45,335,28-01-2017 00:00,4,28,1,2017,Saturday,0.021,1065,0.192,0.136,1500,0.069,0.043,0.204,0.112,0,0,0,0,0,0,0,0,0,0,0,113,14,94.07,22,349,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1028,0,0,0.0885,4,0,0,0,0,0,0,40.62,136,5380,204.5537,29,0.113,33993,0.79
46,495,29-01-2017 00:00,1,29,1,2017,Sunday,0.03,890,0.289,0.193,1331,0.11,0.032,0.257,0.141,0.001,0,0,0,0,0,0,0,0,0,0,65,14,96.48,10,274,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2603,0,0,0.1811,5,0,0,0,0,0,0,39.36,195,4712,255.5001,11,0.142,35885,0.93
47,626,31-01-2017 00:00,2,31,1,2017,Tuesday,0.036,608,1.117,0.836,812,0.309,0.065,0.679,0.374,0.001,0,0,0,0,0,0,0,0,0,0,72,16,95.5,22,467,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.4927,0,0,0.4444,11,0,0,0,0,0,0,36.08,226,10498,659.6616,12,0.374,38477,2.08
48,1215,04-02-2017 00:00,4,4,2,2017,Saturday,0.157,1906,1.654,0.424,7430,1.462,0.273,3.153,1.734,0.008,0,0,0,0,0,0,0,0,0,0,104,8,94.81,29,530,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.1414,0,0,1.6097,9,0,0,0,0,0,0,29.96,364,11075,1120.7678,23,1.743,42239,1.89
49,204,07-02-2017 00:00,3,7,2,2017,Tuesday,0.039,1680,0.644,0.495,2184,0.372,0.223,1.082,0.595,0.001,0,0,0,0,0,0,0,0,0,0,109,11,98.79,8,654,1,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.5,7,0.16,0,0,0.3446,28,0,0,0,0,0,0,42.07,86,15322,367.1023,15,0.596,39901,5.03
50,915,10-02-2017 00:00,3,10,2,2017,Friday,0.064,1980,1.117,0.855,2587,1.093,0.124,2.211,1.216,0.007,0,0,0,0,0,0,0,0,0,0,126,36,96.44,32,867,3,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,6,0.2685,0,0,1.3087,18,0,0,0,0,0,0,41.52,380,19195,2027.9542,28,1.223,58160,3.33
51,568,18-02-2017 00:00,8,18,2,2017,Saturday,0.045,7766,0.699,0.498,10903,2.307,0.679,5.429,2.986,0.002,0,0,0,0,0,0,0,0,0,0,192,145,95.03,139,2660,5,87,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.4286,10,0.387,0,0,5.658,101,0,0,0,0,0,0,36.09,205,66920,3816.9283,82,2.988,215213,9.39
52,1009,22-02-2017 00:00,4,22,2,2017,Wednesday,0.018,2012,0.579,0.409,2847,0.561,0.079,1.164,0.64,0.004,0,0,0,0,0,0,0,0,0,0,108,10,93.7,74,1100,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.4425,0,0,1.3621,13,0,0,0,0,0,0,28.45,287,35393,2830.2121,30,0.644,72122,6.2
53,1037,23-02-2017 00:00,1,23,2,2017,Thursday,0.043,463,0.417,0.278,694,0.078,0.028,0.193,0.106,0,0,0,0,0,0,0,0,0,0,0,51,8,98.65,3,219,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0173,0,0,0.031,3,0,0,0,0,0,0,27.87,289,2461,197.96,2,0.106,35832,0.7
54,1216,23-02-2017 00:00,0,23,2,2017,Thursday,0.059,1523,0.754,0.512,2244,0.517,0.114,1.148,0.631,0.003,0,0,0,0,0,0,0,0,0,0,79,7,92.09,39,454,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0068,0,0,0.6814,8,0,0,0,0,0,0,26.48,322,10773,965.0393,13,0.634,47813,2.39
55,1566,25-02-2017 00:00,2,25,2,2017,Saturday,0.094,2070,2.243,0.651,7135,2.083,0.472,4.644,2.555,0.005,0,0,0,0,0,0,0,0,0,0,101,15,86.59,98,633,7,75,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0.1192,0,0,2.4567,51,0,0,0,0,0,0,22.42,351,27170,2652.7795,68,2.56,126519,7.01
56,528,27-02-2017 00:00,2,27,2,2017,Monday,0.056,760,0.817,0.601,1034,0.306,0.036,0.621,0.342,0.001,0,0,0,0,0,0,0,0,0,0,42,2,94.98,15,284,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2133,0,0,0.4525,8,0,0,0,0,0,0,45.45,240,6179,412.698,7,0.343,41510,1.43
57,334,03-03-2017 00:00,4,3,3,2017,Friday,0.039,9691,0.668,0.499,12975,2.958,0.603,6.473,3.561,0.006,0,0,0,0,0,0,0,0,0,0,192,209,96.79,96,2894,359,1399,0,0,0,0,0,10,10,1,0,0,0,0,0,0,10,730,16.4471,0,0,5.1302,171,0,0,0,0,0,0,32.38,108,92290,2781.2152,1040,3.567,298369,11.61
58,946,04-03-2017 00:00,1,4,3,2017,Saturday,0.152,1541,1.868,0.615,4681,1.452,0.131,2.878,1.583,0.002,0,0,0,0,0,0,0,0,0,0,43,3,94.18,23,372,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.9429,0,0,0.5114,7,0,0,0,0,0,0,30.77,291,10424,843.8727,9,1.585,45421,1.68
59,746,04-03-2017 00:00,0,4,3,2017,Saturday,0.174,2125,2.226,0.516,9175,2.294,0.307,4.73,2.602,0.004,0,0,0,0,0,0,0,0,0,0,111,9,96.43,23,621,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3513,0,0,1.0364,14,0,0,0,0,0,0,43.03,321,14948,1332.9441,23,2.606,54068,2.91
60,294,06-03-2017 00:00,2,6,3,2017,Monday,0.042,5493,0.514,0.385,7334,1.304,0.248,2.822,1.553,0.002,0,0,0,0,0,0,0,0,0,0,92,33,92.52,61,754,5,95,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9.8065,1520,8.9532,0,0,0.6075,80,0,0,0,0,0,0,19.42,57,36845,592.1745,90,1.554,112169,7.07
61,536,11-03-2017 00:00,5,11,3,2017,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,786,93.31,508,7082,54,1069,0,0,0,0,0,0,18,0,0,0,0,0,0,0,4.8486,1057,45.8345,0,0,27.6085,621,0,0,0,0,0,0,33.58,180,260474,13046.1893,1015,0,1243443,7.22
62,1413,18-03-2017 00:00,7,18,3,2017,Saturday,0.052,2416,0.902,0.702,3103,0.977,0.222,2.179,1.198,0.085,0,0,0,0,0,0,0,0,0,0,130,28,97.02,29,943,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.25,0,0,17.0494,76,0,0,0,0,0,0,37.59,531,24526,3618.3752,24,1.283,87108,4.15
63,88,22-03-2017 00:00,4,22,3,2017,Wednesday,0.05,995,0.565,0.392,1435,0.265,0.045,0.562,0.309,0.001,0,0,0,0,0,0,0,0,0,0,86,4,94.14,17,273,1,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0491,0,0,0.2681,17,0,0,0,0,0,0,65.99,58,6146,99.1345,11,0.31,44493,1.98
64,645,23-03-2017 00:00,1,23,3,2017,Thursday,0.023,1777,0.959,0.722,2363,0.729,0.209,1.705,0.938,0.002,0,0,0,0,0,0,0,0,0,0,94,18,94.91,49,913,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.2996,0,0,0.6173,13,0,0,0,0,0,0,38.92,251,40188,2802.58,23,0.94,70722,4.84
65,810,24-03-2017 00:00,1,24,3,2017,Friday,0.198,1914,2.832,0.663,8177,2.556,0.426,5.421,2.982,0.008,0,0,0,0,0,0,0,0,0,0,86,12,96.9,21,656,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.6266,0,0,2.1916,17,0,0,0,0,0,0,47.53,385,15086,1617.4015,19,2.991,52391,2.49
66,79,24-03-2017 00:00,0,24,3,2017,Friday,0.029,693,0.345,0.226,1056,0.115,0.016,0.239,0.131,0,0,0,0,0,0,0,0,0,0,0,131,25,87.63,60,425,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068,10,0,0,0,0,0,0,78.5,62,4512,78.7054,3,0.131,42724,0.96
